TempoAlocacao,Tempo,Particionamento,Nucleos
0.511999,5.063691,ColunaNormal,4
0.512009,5.067496,ColunaNormal,4
0.422364,5.453682,ColunaNormal,4
0.513461,5.088953,ColunaNormal,4
0.527208,5.067976,ColunaNormal,4
0.487997,5.078648,ColunaNormal,4
0.4808,5.119174,ColunaNormal,4
0.485964,5.919121,ColunaNormal,4
0.401405,5.478061,ColunaNormal,4
0.399223,5.381218,ColunaNormal,4
0.513328,5.104617,ColunaNormal,4
0.517399,5.110312,ColunaNormal,4
0.373903,5.762485,ColunaNormal,4
0.397742,4.95039,ColunaNormal,4
0.398866,5.495745,ColunaNormal,4
0.496683,5.272538,ColunaNormal,4
0.403444,5.444168,ColunaNormal,4
0.512827,5.324354,ColunaNormal,4
0.390481,6.836308,ColunaNormal,4
0.378883,5.470051,ColunaNormal,4
0.501122,5.06875,ColunaNormal,4
0.385153,5.468292,ColunaNormal,4
0.236039,4.642193,ColunaNormal,8
1.52816,4.32537,ColunaNormal,8
0.241969,4.298355,ColunaNormal,8
0.319735,4.188349,ColunaNormal,8
0.317849,4.186745,ColunaNormal,8
0.349047,4.17581,ColunaNormal,8
0.240771,4.504728,ColunaNormal,8
0.389539,4.754951,ColunaNormal,8
1.347072,4.177991,ColunaNormal,8
1.465284,4.42321,ColunaNormal,8
0.316823,4.18414,ColunaNormal,8
0.300902,4.785179,ColunaNormal,8
0.331821,4.421145,ColunaNormal,8
1.13618,4.858028,ColunaNormal,8
0.288402,4.78305,ColunaNormal,8
0.34244,4.134811,ColunaNormal,8
0.336003,4.29371,ColunaNormal,8
0.333095,4.166769,ColunaNormal,8
0.337928,4.549503,ColunaNormal,8
0.237833,4.718717,ColunaNormal,8
0.322083,4.335892,ColunaNormal,8
0.318145,4.170185,ColunaNormal,8
0.266792,4.476349,ColunaNormal,8
0.334838,4.345401,ColunaNormal,8
0.258285,4.609975,ColunaNormal,8
0.312547,4.239074,ColunaNormal,8
0.337204,4.147528,ColunaNormal,8
0.33301,4.325061,ColunaNormal,8
0.320856,4.168349,ColunaNormal,8
0.326403,4.260791,ColunaNormal,8
0.240214,4.544101,ColunaNormal,8
0.30027,5.093283,ColunaNormal,8
0.335239,4.332384,ColunaNormal,8
0.321814,4.607366,ColunaNormal,8
0.278537,4.842257,ColunaNormal,8
0.314602,4.588391,ColunaNormal,8
0.338948,5.094031,ColunaNormal,8
0.316678,4.196706,ColunaNormal,8
0.300211,4.826954,ColunaNormal,8
0.284767,4.638144,ColunaNormal,8
0.239842,4.456654,ColunaNormal,8
0.34498,4.319871,ColunaNormal,8
0.252553,4.370941,ColunaNormal,8
0.329184,4.189923,ColunaNormal,8
0.312315,4.361458,ColunaNormal,8
0.314478,4.341844,ColunaNormal,8
0.272453,4.623149,ColunaNormal,8
0.352639,4.284332,ColunaNormal,8
0.325865,4.475559,ColunaNormal,8
0.34766,4.161721,ColunaNormal,8
0.413633,4.137808,ColunaNormal,16
0.406636,3.820155,ColunaNormal,16
0.927621,4.315056,ColunaNormal,16
0.388311,3.972976,ColunaNormal,16
0.420732,3.22906,ColunaNormal,16
0.415448,3.580027,ColunaNormal,16
0.405945,4.084481,ColunaNormal,16
0.39442,4.302149,ColunaNormal,16
0.881023,3.101239,ColunaNormal,16
0.401363,4.414729,ColunaNormal,16
0.41103,3.755427,ColunaNormal,16
0.384317,3.841551,ColunaNormal,16
0.384228,3.961756,ColunaNormal,16
0.406267,4.400983,ColunaNormal,16
0.399309,3.48373,ColunaNormal,16
1.454002,3.281661,ColunaNormal,16
1.85547,3.761707,ColunaNormal,16
0.39846,3.442594,ColunaNormal,16
0.365021,3.448528,ColunaNormal,16
0.406732,4.32847,ColunaNormal,16
1.398932,3.362683,ColunaNormal,16
0.415176,4.161726,ColunaNormal,16
0.383746,4.04193,ColunaNormal,16
0.399418,4.433654,ColunaNormal,16
0.348307,3.473627,ColunaNormal,16
0.381773,3.804905,ColunaNormal,16
0.389159,3.92568,ColunaNormal,16
0.405409,4.855684,ColunaNormal,16
0.39448,3.956058,ColunaNormal,16
0.376302,3.849252,ColunaNormal,16
0.398264,3.655483,ColunaNormal,16
0.777848,4.30968,ColunaNormal,16
0.420408,3.415134,ColunaNormal,16
0.388251,3.826441,ColunaNormal,16
1.346033,3.133979,ColunaNormal,16
0.380064,3.814775,ColunaNormal,16
0.41312,3.78972,ColunaNormal,16
1.642601,3.29447,ColunaNormal,16
1.418595,3.031787,ColunaNormal,16
0.41789,3.573224,ColunaNormal,16
0.419434,3.53319,ColunaNormal,16
0.387052,4.140681,ColunaNormal,16
2.222727,3.453973,ColunaNormal,16
0.406268,3.626796,ColunaNormal,16
0.405541,3.568201,ColunaNormal,16
0.365096,4.105153,ColunaNormal,16
0.401734,3.408433,ColunaNormal,16
0.394701,4.465761,ColunaNormal,16
0.417563,3.679574,ColunaNormal,16
0.392268,3.907843,ColunaNormal,16






0.672115,6.544548,ColunaRoundRobin,2
0.658078,6.618763,ColunaRoundRobin,2
0.57881,6.0263,ColunaRoundRobin,2
0.65793,6.52869,ColunaRoundRobin,2
0.668007,6.529283,ColunaRoundRobin,2
0.672929,6.535347,ColunaRoundRobin,2
0.667265,6.636393,ColunaRoundRobin,2
0.673102,6.550451,ColunaRoundRobin,2
0.673058,6.641391,ColunaRoundRobin,2
0.666947,6.644815,ColunaRoundRobin,2
0.663166,6.544159,ColunaRoundRobin,2
0.681114,6.68779,ColunaRoundRobin,2
0.667584,6.594547,ColunaRoundRobin,2
0.660738,6.626613,ColunaRoundRobin,2
0.578172,5.781805,ColunaRoundRobin,2
0.671292,6.519055,ColunaRoundRobin,2
0.667571,6.611134,ColunaRoundRobin,2
0.663629,6.176224,ColunaRoundRobin,2
0.665273,6.725176,ColunaRoundRobin,2
0.670024,6.556288,ColunaRoundRobin,2
0.663509,6.52189,ColunaRoundRobin,2
0.668268,6.627161,ColunaRoundRobin,2
0.59262,5.942283,ColunaRoundRobin,2
0.664965,6.534266,ColunaRoundRobin,2
0.665415,6.745979,ColunaRoundRobin,2
0.662411,6.673705,ColunaRoundRobin,2
0.668492,6.21201,ColunaRoundRobin,2
0.577719,5.782794,ColunaRoundRobin,2
0.670328,6.603026,ColunaRoundRobin,2
0.661415,6.674013,ColunaRoundRobin,2
0.665217,6.657028,ColunaRoundRobin,2
0.673581,6.643819,ColunaRoundRobin,2
0.673008,6.65877,ColunaRoundRobin,2
0.664463,6.578011,ColunaRoundRobin,2
0.664358,6.632585,ColunaRoundRobin,2
0.67047,6.641137,ColunaRoundRobin,2
0.672837,6.583445,ColunaRoundRobin,2
0.667134,6.67223,ColunaRoundRobin,2
0.670266,6.764786,ColunaRoundRobin,2
0.669912,6.572836,ColunaRoundRobin,2
0.579654,6.030604,ColunaRoundRobin,2
0.671348,6.668015,ColunaRoundRobin,2
0.671011,6.648243,ColunaRoundRobin,2
0.579228,6.010986,ColunaRoundRobin,2
0.66847,6.654501,ColunaRoundRobin,2
0.676681,6.586767,ColunaRoundRobin,2
0.672616,6.186643,ColunaRoundRobin,2
0.669451,6.706886,ColunaRoundRobin,2
0.677015,6.746888,ColunaRoundRobin,2
0.672651,6.508092,ColunaRoundRobin,2
0.357384,3.353488,ColunaRoundRobin,4
0.380445,3.379312,ColunaRoundRobin,4
0.508914,3.205745,ColunaRoundRobin,4
0.386304,3.415247,ColunaRoundRobin,4
0.353975,3.370854,ColunaRoundRobin,4
