TempoAlocacao,Tempo,Particionamento,Nucleos,Pontos
0.006502,0.056042,LinhaRoundRobin,4 sparks,66049
0.011428,0.066938,LinhaRoundRobin,4 sparks,66049
0.00669,0.056911,LinhaRoundRobin,4 sparks,66049
0.008698,0.067069,LinhaRoundRobin,4 sparks,66049
0.008065,0.052568,LinhaRoundRobin,4 sparks,66049
0.008736,0.067455,LinhaRoundRobin,4 sparks,66049
0.006688,0.051687,LinhaRoundRobin,4 sparks,66049
0.006671,0.054736,LinhaRoundRobin,4 sparks,66049
0.00625,0.058633,LinhaRoundRobin,4 sparks,66049
0.006772,0.058151,LinhaRoundRobin,4 sparks,66049
0.006103,0.053451,LinhaRoundRobin,4 sparks,66049
0.006833,0.055479,LinhaRoundRobin,4 sparks,66049
0.005885,0.050211,LinhaRoundRobin,4 sparks,66049
0.005506,0.05148,LinhaRoundRobin,4 sparks,66049
0.007542,0.05896,LinhaRoundRobin,4 sparks,66049
0.007236,0.056165,LinhaRoundRobin,4 sparks,66049
0.006756,0.060154,LinhaRoundRobin,4 sparks,66049
0.006853,0.055772,LinhaRoundRobin,4 sparks,66049
0.006895,0.05355,LinhaRoundRobin,4 sparks,66049
0.006914,0.068514,LinhaRoundRobin,4 sparks,66049
0.005899,0.053648,LinhaRoundRobin,4 sparks,66049
0.006651,0.065722,LinhaRoundRobin,4 sparks,66049
0.006804,0.064315,LinhaRoundRobin,4 sparks,66049
0.006954,0.056422,LinhaRoundRobin,4 sparks,66049
0.007477,0.052342,LinhaRoundRobin,4 sparks,66049
0.006899,0.058788,LinhaRoundRobin,4 sparks,66049
0.024045,0.043821,LinhaRoundRobin,8 sparks,66049
0.022778,0.029811,LinhaRoundRobin,8 sparks,66049
0.018559,0.034705,LinhaRoundRobin,8 sparks,66049
0.018903,0.031465,LinhaRoundRobin,8 sparks,66049
0.023861,0.029848,LinhaRoundRobin,8 sparks,66049
0.021913,0.03108,LinhaRoundRobin,8 sparks,66049
0.025508,0.029772,LinhaRoundRobin,8 sparks,66049
0.014239,0.036365,LinhaRoundRobin,8 sparks,66049
0.022705,0.029714,LinhaRoundRobin,8 sparks,66049
0.016929,0.034573,LinhaRoundRobin,8 sparks,66049
0.014181,0.030119,LinhaRoundRobin,8 sparks,66049
0.020088,0.031585,LinhaRoundRobin,8 sparks,66049
0.019937,0.030251,LinhaRoundRobin,8 sparks,66049
0.004889,0.053517,LinhaRoundRobin,8 sparks,66049
0.023621,0.032018,LinhaRoundRobin,8 sparks,66049
0.004476,0.049214,LinhaRoundRobin,8 sparks,66049
0.025837,0.029492,LinhaRoundRobin,8 sparks,66049
0.018944,0.030493,LinhaRoundRobin,8 sparks,66049
0.020322,0.035808,LinhaRoundRobin,8 sparks,66049
0.026021,0.031884,LinhaRoundRobin,8 sparks,66049
0.019705,0.031393,LinhaRoundRobin,8 sparks,66049
0.019098,0.03277,LinhaRoundRobin,8 sparks,66049
0.004552,0.048189,LinhaRoundRobin,8 sparks,66049
0.021879,0.030415,LinhaRoundRobin,8 sparks,66049
0.026237,0.029893,LinhaRoundRobin,8 sparks,66049
0.01931,0.029904,LinhaRoundRobin,8 sparks,66049
0.019863,0.030187,LinhaRoundRobin,8 sparks,66049
0.027759,0.030554,LinhaRoundRobin,8 sparks,66049
0.023104,0.028737,LinhaRoundRobin,8 sparks,66049
0.004408,0.048107,LinhaRoundRobin,8 sparks,66049
